图像名称,PNSR值,SSIM值,SSIM值（自定义）,my value
00061.png,16.262721677569058,1.6076541,1.6363676163668217
00196.png,15.722010876613036,1.3708127,1.410065579533624
00290.png,19.02799804847668,1.6942991,1.7201198465519651
00390.png,19.4348924336806,1.7126124,1.7372199037972256
00489.png,19.879788548762445,1.713247,1.740617046444388
00555.png,21.719293530402716,1.6690352,1.7010252683962652
00606.png,19.06747759400821,1.698335,1.7235170199545764
00633.png,21.496451758615123,1.7452809,1.7729739250086878
00712.png,14.375696159034588,1.6082383,1.6378758578762436
00716.png,15.247253568151741,1.6335912,1.6644691592139265
00762.png,14.874722396860156,1.2664263,1.3107005790248198
00825.png,18.50212649879856,1.6871822,1.7179533077058284
00950.png,13.608621210831242,1.6091344,1.6431690619337924
01017.png,20.90120466295555,1.6520052,1.6923806901988667
01320.png,16.30146578059135,1.165964,1.184773172533726
01422.png,14.72435927413025,1.1664624,1.1894084597026573
01454.png,16.371966608363632,1.5887319,1.6152437906237744
01494.png,16.336691767257708,1.1738617,1.2078858641628762
01531.png,12.15699743958525,1.4045479,1.4257601438032221
01673.png,15.281018555073322,1.3994219,1.4341180326530147
01710.png,12.264587580843756,1.3690867,1.390943869811174
01779.png,11.956996492331074,1.3926048,1.415116193768875
01806.png,11.899150468516034,1.2466719,1.2796291749039757
01911.png,11.640765104852944,1.471695,1.496830180205369
01937.png,14.50551337051805,1.2867506,1.3198815474817773
02002.png,12.12257495445048,1.3691185,1.391900273528364
02073.png,12.893775744348236,1.2861383,1.3112243134030295
02102.png,12.11205169219788,1.3992667,1.4237574730809937
02120.png,11.57124606450034,1.3083094,1.3497986919674587
02527.png,15.126339670132825,1.328234,1.375668375149834
02641.png,16.556325804206338,1.4645407,1.4916853730982185
02869.png,13.942154149559816,1.2632115,1.3034325301323704
03462.png,13.48041474318184,1.2549832,1.2878725617255238
03473.png,17.830456205286126,1.3578005,1.4060396113621598
03600.png,12.3888766350184,1.2019494,1.2382577430245725
03813.png,14.912198107419133,1.3268082,1.3646467040178587
03878.png,16.607044876485908,1.5072045,1.5395158650476026
03989.png,16.283350863957832,1.4666629,1.4963760289909955
04006.png,16.381784066588047,1.5532626,1.582976411003137
04018.png,14.644832698184658,1.5305576,1.5613883216494273
