ImageName,PNSR,SSIM_A,SSIM_B,SSIM_C
00061.png,13.33724062962518,1.5241499,1.5552378808071265,0.8010758004238362
00196.png,13.425305405267277,1.3049022,1.3394143773607783,1.299068579998029
00290.png,15.001633989852387,1.6095679,1.6406738508716066,0.9696199346279449
00390.png,17.64650093052628,1.6265471,1.6524269367846673,1.3509618890332202
00489.png,18.299382713295543,1.6365082,1.6665802689939442,1.3961718438126536
00555.png,19.871130223218273,1.5845083,1.6186940230578961,1.553301135606232
00606.png,17.27071960002424,1.6264458,1.652091975956605,1.2252128860725344
00633.png,19.901238567440593,1.6783684,1.708887237085783,1.5034921953906857
00712.png,12.404354336011567,1.5232272,1.5579861858034816,0.6183346620240379
00716.png,13.24713513583238,1.5802708,1.6174850858512169,0.2898654339401305
00762.png,12.632220260035217,1.2244391,1.2584818120614911,1.224525634461282
00825.png,16.60368028151511,1.6218138,1.6560687732818753,1.0695977389275297
00950.png,12.486615298300613,1.5156885,1.5542962242635083,0.8266894237058589
01017.png,19.24078572222201,1.5684942,1.6123989599878876,1.3233340847043142
01320.png,17.30691909118424,1.1187738,1.1323268744717807,1.2051374520608042
01422.png,12.522099570699174,1.1261501,1.1426083141210255,0.8182711461168739
01454.png,13.925387228354374,1.5019321,1.5269550177588516,1.2094241116675277
01494.png,14.697565554819562,1.114667,1.1389857405644777,1.1092183967158127
01531.png,10.454052155374654,1.3169465,1.3367680454876367,0.48967094577462783
01673.png,12.655078101766652,1.3211088,1.3527494018866817,0.8373282880495561
01710.png,10.75047620189544,1.3072972,1.3261780518627648,0.7005882752295177
01779.png,10.645611564554196,1.3353881,1.3568665868096095,0.6075529605811267
01806.png,14.146879695531089,1.231437,1.2656794959026552,0.6613155218116625
01911.png,11.018030221935382,1.414575,1.440985384435259,0.6024630860056785
01937.png,12.570144832353911,1.2323283,1.260819062008395,0.6185158890742266
02002.png,9.384756740861324,1.2883868,1.3092733377063437,0.5135016870143471
02073.png,10.031129420411675,1.2208173,1.2415184258485166,0.8158848094048593
02102.png,9.252387577411874,1.330661,1.3528183738097328,0.5784868520411223
02120.png,8.908772432184746,1.2366688,1.2702365456714975,0.5238259407058902
02527.png,12.419701622688574,1.2501323,1.2900844089751706,1.2030785333999365
02641.png,17.487992264372597,1.3989829,1.4238055624224366,1.246736953249207
02869.png,11.237935774732852,1.1907783,1.2249626505551516,0.5281289957743028
03462.png,10.758845112901945,1.2095765,1.2367896161680572,0.8322088099005548
03473.png,15.064691248522102,1.2859751,1.327561601453589,1.0374708479606467
03600.png,9.52494760637712,1.1594399,1.1861014878539455,0.5020741686643978
03813.png,12.234350432445876,1.2412251,1.2717669427600624,1.1271726525541792
03878.png,14.563296413660058,1.423542,1.4516134846175999,1.0811926341447702
03989.png,14.48495748248935,1.3958826,1.4219886348021498,1.0477095520412598
04006.png,15.424577450913322,1.4690585,1.4968203441403962,1.020677666246265
04018.png,12.83468428184994,1.4210511,1.4508000209001113,0.759205037400046
