图像名称,PNSR值,SSIM值,SSIM值（自定义）,my value
00061,15.739308352005459,1.5798286,1.608720152212086,0.9159382121233482
00196,15.56488463229103,1.3431795,1.3815679526103768,1.469295036980989
00290,18.16885148752102,1.6534238,1.6791027386938593,1.1768365444736741
00390,18.701473931131233,1.6687758,1.695094056880812,1.197620120798694
00489,18.576954071396955,1.6486332,1.6768219286770918,1.3202117046665867
00555,20.149469155778014,1.6157036,1.6484645177337502,1.502689448668218
00606,15.046641298419264,1.475382,1.4993477300603486,1.102470933220981
00633,21.521774862473162,1.7265604,1.755373516018771,1.5231105466065376
00712,14.11245876159276,1.572884,1.6030927762926048,0.7572464898907955
00716,13.748792263610481,1.5739179,1.6045073223069009,0.4121191846315125
00762,14.673762130067745,1.2366574,1.2801133487576362,1.2827476816091978
00825,17.652512086603863,1.6562202,1.686369091166465,0.9852590531263997
00950,13.395078777455623,1.5741554,1.6088382953948424,0.9451208200731592
01017,20.144032973560662,1.6157472,1.6560733960913756,1.3566598599024207
01320,14.927767320812414,1.066344,1.0874427441131351,1.0051077490737872
01422,13.835136666019245,1.1200491,1.1427497993972018,0.9049777876336171
01454,15.780191135139813,1.4742458,1.501154809886885,1.1907340156521644
01494,15.1769797886195,1.0962899,1.129900603520972,0.9587393079159278
01531,12.015268244608935,1.3796382,1.4004483606288025,0.45281936664674816
01673,15.19833813813813,1.3612763,1.3973295949038826,0.9271293122552345
01710,12.343528615115764,1.3507495,1.372598975414018,0.709739742240446
01779,12.004544966821163,1.3742428,1.3976799370756006,0.6005656081794248
01806,11.51612170403029,1.1571842,1.1872289796347264,0.5298297378311723
01911,11.666411565086321,1.456478,1.481689008558852,0.4954151654923482
01937,14.87397090531011,1.256368,1.290702550117121,0.6103877114001449
02002,12.014231152969792,1.3505762,1.3746323231102804,0.44408695413584737
02073,12.292299908992195,1.2436851,1.270853202112002,0.8391847972932217
02102,11.813972630116638,1.3716278,1.3962411851723502,0.5481554457644698
02120,11.563992964925172,1.2960557,1.3377519993177853,0.441187430651496
02527,14.036069296948925,1.2649016,1.314148687817831,1.1613858986493817
02641,16.443755406179537,1.4330075,1.461733512796624,1.1896974842182322
02869,13.356809951438866,1.218495,1.2591919030358483,0.6066181676917705
03462,13.01312992156478,1.225322,1.2586748714016118,0.9013878998839436
03473,17.331265641690706,1.3280524,1.376528704094663,1.1532453170128838
03600,12.278944896393643,1.1815158,1.2185551432296824,0.4350189193645731
03813,14.643959672172326,1.2911582,1.329816467827331,1.1491682653020063
03878,15.85419281433267,1.4188406,1.4515804368702434,0.9543097478927839
03989,15.282665704318156,1.399899,1.4300005146957733,0.9629612777401323
04006,16.631121645455988,1.5368016,1.5658488983021634,0.9157879638290941
04018,14.407172346603076,1.4788373,1.5117809533793174,0.36328837203186026
